Year,Commits
2002, 155
2003, 55
2004, 61
2005, 180
2006, 466
2007, 276
2008, 640
2009, 359
2010, 334
2011, 574
2012, 286
2013, 1009
2014, 364
2015, 465
2016, 388
2017, 723
2018, 892
2019, 745
2020, 750
2021, 714
2022, 113
