outer_location,AssertCount,DebugCount
.,6,1
CustomFiles,7,10
cffi,1,0
code_generators,5,2
command,1,8
common,9,0
core,7,0
distutils,38,16
f2py,42,2
fcompiler,7,5
lib,1,0
linalg,1,0
ma,45,0
multiarray,118,43
npy_tempita,8,0
npymath,1,0
numpy,1,0
simd,1,0
source,1,0
textreading,9,0
tools,13,0
umath,23,0
